iso3,role,name,party
MRT,defense,Hanana Ould Sidi,
MRT,economy,Sid'Ahmed Ould Bouh,
MRT,interior,Mohamed Ahmed Ould Mohamed Lemine,
MOZ,foreign,Verónica Macamo,FRELIMO
MOZ,defense,Cristóvão Chume,FRELIMO
MOZ,economy,Max Tonela,FRELIMO
MOZ,interior,Arsénia Massingue,FRELIMO
NAM,foreign,Peya Mushelenga,SWAPO
NAM,defense,Frans Kapofi,SWAPO
NAM,economy,Iipumbu Shiimi,SWAPO
NAM,interior,Albert Kawana,SWAPO
NER,foreign,Bakary Yaou Sangaré,
NER,defense,Salifou Modi,
NER,economy,Ali Lamine Zeine,
NER,interior,Mohamed Toumba,
NGA,foreign,Yusuf Tuggar,All Progressives Congress
NGA,defense,Mohammed Badaru Abubakar,All Progressives Congress
NGA,economy,Wale Edun,
NGA,interior,Olubunmi Tunji-Ojo,All Progressives Congress
CAF,foreign,Sylvie Baïpo-Temon,
CAF,defense,Claude Rameaux Bireau,
CAF,economy,Hervé Ndoba,
CAF,interior,Michel Nassin,
COG,foreign,Jean-Claude Gakosso,Congolese Party of Labour
COG,defense,Charles Richard Mondjo,
COG,economy,Jean-Baptiste Ondaye,
COG,interior,Raymond Zéphirin Mboulou,Congolese Party of Labour
COD,foreign,Thérèse Kayikwamba Wagner,
COD,defense,Guy Kabombo Muadiamvita,Union for Democracy and Social Progress
COD,economy,Doudou Fwamba Likunde,
COD,interior,Jacquemin Shabani,Union for Democracy and Social Progress
RWA,foreign,Olivier Nduhungirehe,
RWA,defense,Juvenal Marizamunda,
RWA,economy,Yusuf Murangwa,
RWA,interior,Jean-Claude Musabyimana,
STP,foreign,Gareth Guadalupe,Independent Democratic Action
STP,defense,Jorge Amado,Movement for the Liberation of São Tomé and Príncipe
STP,economy,Genésio da Mata,
STP,interior,Jorge Amado,Movement for the Liberation of São Tomé and Príncipe
SEN,foreign,Yassine Fall,PASTEF
SEN,defense,Birame Diop,
SEN,economy,Cheikh Diba,
SEN,interior,Jean-Baptiste Tine,
SYC,foreign,Sylvestre Radegonde,
SYC,defense,Wavel Ramkalawan,Linyon Demokratik Seselwa
SYC,economy,Naadir Hassan,
SYC,interior,Errol Fonseka,
SLE,foreign,Timothy Kabba,Sierra Leone People's Party
SLE,defense,Kellie Conteh,
SLE,economy,Sheku Ahmed Fantamadi Bangura,
SLE,interior,David Taluva,
SOM,foreign,Ahmed Moalim Fiqi,Union for Peace and Development Party
SOM,defense,Abdulkadir Mohamed Nur,
SOM,economy,Bihi Iman Egeh,
SOM,interior,Ali Yusuf Ali Hosh,
ZAF,foreign,Ronald Lamola,African National Congress
ZAF,defense,Angie Motshekga,African National Congress
ZAF,economy,Enoch Godongwana,African National Congress
ZAF,interior,Leon Schreiber,Democratic Alliance
SDN,foreign,Ali Yusuf Ahmed,
SDN,defense,Yassin Ibrahim Yassin,
SDN,economy,Gibril Ibrahim,Justice and Equality Movement
SDN,interior,Khalil Pasha Sair,
SSD,foreign,Ramadan Abdallah Goc,Sudan People's Liberation Movement
SSD,defense,Chol Thon Balok,Sudan People's Liberation Movement
SSD,economy,Marial Dongrin Ater,Sudan People's Liberation Movement
SSD,interior,Anjelina Teny,Sudan People's Liberation Movement-In Opposition
TZA,foreign,Mahmoud Thabit Kombo,Chama Cha Mapinduzi
TZA,defense,Stergomena Tax,Chama Cha Mapinduzi
TZA,economy,Mwigulu Nchemba,Chama Cha Mapinduzi
TZA,interior,Thobias Andengenye,Chama Cha Mapinduzi
TGO,foreign,Robert Dussey,
TGO,defense,Faure Gnassingbé,Union for the Republic
TGO,economy,Sani Yaya,
TGO,interior,Calixte Madjoulba,
TUN,foreign,Mohamed Ali Nafti,
TUN,defense,Khaled Sehili,
TUN,economy,Abdelkader Boudriga,
TUN,interior,Khaled Nouri,
UGA,foreign,Jeje Odongo,National Resistance Movement
UGA,defense,Jacob Oboth-Oboth,National Resistance Movement
UGA,economy,Matia Kasaija,National Resistance Movement
UGA,interior,Kahinda Otafiire,National Resistance Movement
DJI,foreign,Mahamoud Ali Youssouf,People's Rally for Progress
DJI,defense,Hassan Omar Mohamed,People's Rally for Progress
DJI,economy,Ilyas Moussa Dawaleh,People's Rally for Progress
DJI,interior,Said Nouh Hassan,People's Rally for Progress
ZMB,foreign,Mulambo Haimbe,United Party for National Development
ZMB,defense,Ambrose Lufuma,United Party for National Development
ZMB,economy,Situmbeko Musokotwane,United Party for National Development
ZMB,interior,Jack Mwiimbu,United Party for National Development
ZWE,foreign,Amon Murwira,ZANU–PF
ZWE,defense,Oppah Muchinguri,ZANU–PF
ZWE,economy,Mthuli Ncube,ZANU–PF
ZWE,interior,Kazembe Kazembe,ZANU–PF
AUS,foreign,Penny Wong,Australian Labor Party
AUS,defense,Richard Marles,Australian Labor Party
AUS,economy,Jim Chalmers,Australian Labor Party
AUS,interior,Clare O'Neil,Australian Labor Party
FJI,foreign,Sitiveni Rabuka,People's Alliance
FJI,defense,Pio Tikoduadua,National Federation Party
FJI,economy,Biman Prasad,National Federation Party
FJI,interior,Pio Tikoduadua,National Federation Party
KIR,foreign,Taneti Maamau,Tobwaan Kiribati Party
KIR,defense,Taneti Maamau,Tobwaan Kiribati Party
KIR,economy,Juuntaake Tokataake,Tobwaan Kiribati Party
KIR,interior,Boutu Bateriki,Tobwaan Kiribati Party
MHL,foreign,Kalani Kaneko,
MHL,defense,Bremon Anni,
MHL,economy,David Paul,
MHL,interior,Jess Gasper Jr.,
FSM,foreign,Lorrin Robert,
FSM,economy,Rose Nakanaga,
FSM,interior,Andrew Yatilman,
NRU,foreign,David Adeang,
NRU,defense,David Adeang,
NRU,economy,Asterio Appi,
NRU,interior,Charmaine Scotty,
NZL,foreign,Winston Peters,New Zealand First
NZL,defense,Judith Collins,New Zealand National Party
NZL,economy,Nicola Willis,New Zealand National Party
NZL,interior,Brooke van Velden,ACT New Zealand
PLW,foreign,Gustav Aitaro,
PLW,economy,Kaleb Udui Jr.,
PLW,interior,Ulechong Maria S. Demei,
PNG,foreign,Justin Tkatchenko,PANGU Pati
PNG,defense,Billy Joseph,Social Democratic Party
PNG,economy,Ian Ling-Stuckey,PANGU Pati
PNG,interior,Peter Tsiamalili Jr.,PANGU Pati
WSM,foreign,Fiamē Naomi Mataʻafa,Faʻatuatua i le Atua Samoa ua Tasi
WSM,defense,Fiamē Naomi Mataʻafa,Faʻatuatua i le Atua Samoa ua Tasi
WSM,economy,Lautimuia Afoa Uelese Vaʻai,Faʻatuatua i le Atua Samoa ua Tasi
WSM,interior,Faualo Harry Schuster,Faʻatuatua i le Atua Samoa ua Tasi
SLB,foreign,Peter Shanel Agovaka,"Ownership, Unity and Responsibility Party"
SLB,defense,Jeremiah Manele,"Ownership, Unity and Responsibility Party"
SLB,economy,Manasseh Sogavare,"Ownership, Unity and Responsibility Party"
SLB,interior,Isikeli Vave Jr.,
TON,foreign,Fekitamoeloa ʻUtoikamanu,
TON,defense,Siaosi Sovaleni,
TON,economy,Tiofilusi Tiueti,
TON,interior,Sevenitini Toumoʻua,
TUV,foreign,Paulson Panapa,
TUV,defense,Feleti Teo,
TUV,economy,Panapasi Nelesone,
TUV,interior,Simon Kofe,
VUT,foreign,Matai Seremaiah,Leaders Party of Vanuatu
VUT,defense,Charlot Salwai,Reunification Movement for Change
VUT,economy,John Salong,Graon mo Jastis Pati
VUT,interior,Johnny Koanapo,Vanua'aku Pati
